,First Name,Last Name,Age,Number children,Degree,Experience,Years of unemployment,Working environment
0,Alan,Spencer,21,0,high school diploma,1,0,Worker
1,Emily,Myers,22,0,three-year degree,0,0,Instruction
2,Tiana,Spencer,18,0,high school diploma,0,0,Generic
3,Steven,Parker,18,0,high school diploma,0,0,Economic
4,Maddie,Cooper,30,2,three-year degree,7,1,Informatics
5,Amy,Myers,23,0,high school diploma,0,0,Instruction
6,Penelope,Richardson,18,0,high school diploma,1,0,Instruction
7,Bruce,Douglas,18,0,high school diploma,0,1,Generic
8,Alberta,Roberts,22,0,three-year degree,1,4,Informatics
9,Ellia,Gibson,28,3,high school diploma,0,0,Economic
10,Maddie,Holmes,21,0,high school diploma,1,0,Generic
11,Aston,Morrison,21,0,high school diploma,0,1,Informatics
12,Tiana,Ellis,24,3,high school diploma,0,0,Generic
13,George,Foster,19,0,high school diploma,1,0,Economic
14,Blake,Roberts,24,3,three-year degree,0,0,Instruction
15,Derek,Murphy,23,0,high school diploma,0,0,Generic
16,Grace,Higgins,22,0,three-year degree,0,1,Informatics
17,William,Bennett,23,0,high school diploma,1,0,Worker
18,Violet,Carroll,18,0,high school diploma,0,0,Generic
19,Adam,Wright,25,2,high school diploma,0,0,Informatics
20,Rafael,Kelly,19,0,high school diploma,1,0,Generic
21,Evelyn,Thompson,25,2,high school diploma,0,0,Economic
22,Eric,Carroll,26,2,three-year degree,4,0,Economic
23,Max,Thomas,25,3,three-year degree,1,1,healthcare
24,Walter,Anderson,30,0,high school diploma,5,3,Worker
25,Harold,Moore,25,2,high school diploma,0,1,Worker
26,Kimberly,Ellis,30,0,high school diploma,3,3,Generic
27,Violet,Morrison,18,0,high school diploma,1,0,Worker
28,Catherine,Lloyd,26,2,high school diploma,3,5,Worker
29,Ryan,Ellis,24,1,three-year degree,0,0,Informatics
30,Arnold,Moore,19,0,high school diploma,0,4,Economic
31,Annabella,Armstrong,24,2,high school diploma,0,2,Instruction
32,Charlotte,Douglas,24,2,high school diploma,0,0,Economic
33,Owen,Bailey,22,0,high school diploma,0,0,Informatics
34,Maximilian,Myers,27,2,high school diploma,0,0,Generic
35,Miley,Stevens,25,1,high school diploma,0,0,Worker
36,Alexander,Russell,29,0,high school diploma,0,0,Informatics
37,Max,Dixon,22,0,high school diploma,1,1,Informatics
38,Amber,Cooper,19,0,high school diploma,1,0,Generic
39,Jordan,Gray,20,0,high school diploma,0,0,Worker
40,Adele,Lloyd,20,0,high school diploma,1,1,Instruction
41,Myra,Henderson,22,0,high school diploma,0,0,healthcare
42,Justin,Thompson,30,3,high school diploma,7,1,Economic
43,Amelia,Holmes,30,0,three-year degree,3,0,Instruction
44,Ellia,Clark,21,0,high school diploma,1,0,Generic
45,Max,Kelly,28,3,high school diploma,0,1,healthcare
46,Vanessa,Hawkins,25,1,high school diploma,0,1,Worker
47,Carina,Thompson,22,0,high school diploma,0,0,Worker
48,Lydia,Brooks,26,3,high school diploma,0,0,Informatics
49,Tony,Elliott,27,3,high school diploma,0,0,Instruction
50,Madaline,Hunt,24,2,high school diploma,0,0,Worker
51,Luke,Morgan,18,0,high school diploma,0,0,Worker
52,Martin,Douglas,19,0,high school diploma,1,0,Worker
53,Charlie,Barrett,19,0,compulsory school,1,1,Generic
54,Tara,Hawkins,27,2,high school diploma,0,0,Generic
55,Anna,Turner,25,2,high school diploma,0,1,Generic
56,Jared,Reed,18,0,high school diploma,1,0,Worker
57,Elise,Wright,30,3,high school diploma,8,0,Generic
58,Thomas,Kelly,24,1,high school diploma,0,0,Worker
59,Michael,Murray,20,0,high school diploma,0,0,Worker
60,Miranda,Mitchell,29,3,three-year degree,8,3,Informatics
61,Lydia,Hunt,22,0,high school diploma,1,1,Informatics
62,Arthur,Hamilton,25,0,high school diploma,0,1,Worker
63,Preston,Farrell,28,2,high school diploma,0,1,healthcare
64,Alissa,Harper,22,0,high school diploma,1,0,Informatics
65,Sophia,Lloyd,18,0,high school diploma,0,0,Generic
66,Lenny,Johnson,29,3,high school diploma,8,1,Instruction
67,April,Ryan,20,0,high school diploma,1,0,Generic
68,Emma,Roberts,24,3,high school diploma,1,0,Generic
69,Ted,Myers,22,0,high school diploma,0,0,Generic
70,Marcus,Andrews,23,0,high school diploma,2,0,Worker
71,Aston,Sullivan,30,3,high school diploma,3,3,healthcare
72,Vanessa,Phillips,25,0,three-year degree,2,0,Instruction
73,Amanda,Hawkins,23,0,high school diploma,2,0,Generic
74,Lucy,Moore,24,3,three-year degree,0,1,Instruction
75,Lucas,Mason,26,2,three-year degree,0,1,healthcare
76,Jenna,Elliott,19,0,high school diploma,1,0,Worker
77,Penelope,Davis,21,0,high school diploma,0,0,Worker
78,Steven,Roberts,27,0,compulsory school,4,3,Worker
79,Eddy,Allen,29,1,high school diploma,5,1,healthcare
80,Adison,Carroll,23,0,three-year degree,0,1,Economic
81,Derek,Reed,21,0,high school diploma,1,0,Worker
82,Blake,Mason,23,0,high school diploma,0,3,Worker
83,Alexia,Mason,24,0,high school diploma,0,0,Economic
84,Edith,Ross,18,0,high school diploma,1,0,Worker
85,Connie,Robinson,27,3,high school diploma,2,1,Generic
86,Leonardo,Jones,25,0,high school diploma,0,1,Worker
87,Florrie,Evans,22,0,high school diploma,0,1,Generic
88,Tony,Johnson,22,0,three-year degree,0,1,healthcare
89,Belinda,Watson,21,0,high school diploma,1,0,Economic
90,Antony,Hill,19,0,high school diploma,1,3,Worker
91,Carl,Wells,29,2,compulsory school,3,3,Generic
92,Robert,Ellis,27,1,high school diploma,1,1,Worker
93,Maximilian,Brooks,28,0,high school diploma,0,1,Worker
94,Cherry,Farrell,30,0,three-year degree,7,1,Informatics
95,Julian,Harris,22,0,high school diploma,1,0,healthcare
96,Dominik,Perry,27,3,high school diploma,0,3,Economic
97,Vivian,Anderson,21,0,high school diploma,1,0,Economic
98,Rafael,Moore,21,0,high school diploma,0,0,healthcare
99,Dale,Craig,27,2,high school diploma,0,1,Informatics
100,Heather,Miller,19,0,high school diploma,1,0,Generic
101,Ryan,Rogers,29,3,three-year degree,5,1,Instruction
102,Ned,Hall,29,0,compulsory school,8,1,Generic
103,Lucia,Montgomery,20,0,high school diploma,1,0,Economic
