name and surname,preferences
Oliver Owens,"['Doctor', 'Nurse']"
Paige Cunningham,"['Doctor', 'Nurse']"
Brad Walker,"['Doctor', 'Nurse']"
Abraham Holmes,"['Doctor', 'Nurse']"
Andrew Richards,"['Nurse', 'Doctor']"
Belinda Farrell,"['Nurse', 'Doctor']"
Kevin West,"['Nurse', 'Doctor']"
Dexter Morris,"['Nurse', 'Doctor']"
Elian Miller,"['Doctor', 'Nurse']"
Spike West,"['Doctor', 'Nurse']"
Lily Tucker,"['Doctor', 'Nurse']"
Maximilian Baker,"['Doctor', 'Nurse']"
Valeria Richardson,"['Nurse', 'Doctor']"
Melissa Foster,"['Nurse', 'Doctor']"
Catherine Harrison,"['Doctor', 'Nurse']"
Lydia Fowler,"['Doctor', 'Nurse']"
Sophia Casey,"['Nurse', 'Doctor']"
Lana Armstrong,"['Doctor', 'Nurse']"
Emily Foster,"['Nurse', 'Doctor']"
Savana Johnson,"['Doctor', 'Nurse']"
Penelope Owens,"['Doctor', 'Nurse']"
Steven Jones,"['Doctor', 'Nurse']"
Arianna Morris,"['Doctor', 'Nurse']"
Haris Higgins,"['Nurse', 'Doctor']"
Melanie Riley,"['Doctor', 'Nurse']"
Clark Roberts,"['Nurse', 'Doctor']"
Darcy Morris,"['Nurse', 'Doctor']"
Jenna Montgomery,"['Doctor', 'Nurse']"
George Carter,"['Nurse', 'Doctor']"
John Bennett,"['Nurse', 'Doctor']"
Melanie Anderson,"['Doctor', 'Nurse']"
Fenton Murray,"['Nurse', 'Doctor']"
Sam Taylor,"['Doctor', 'Nurse']"
Justin Rogers,"['Nurse', 'Doctor']"
Dale Wells,"['Doctor', 'Nurse']"
Sydney Thompson,"['Nurse', 'Doctor']"
Alfred Nelson,"['Doctor', 'Nurse']"
Ted Chapman,"['Nurse', 'Doctor']"
Albert Smith,"['Nurse', 'Doctor']"
Wilson Harris,"['Nurse', 'Doctor']"
Isabella Parker,"['Nurse', 'Doctor']"
Adrian Rogers,"['Nurse', 'Doctor']"
Patrick Fowler,"['Nurse', 'Doctor']"
James Reed,"['Nurse', 'Doctor']"
Rafael Phillips,"['Doctor', 'Nurse']"
Julia Edwards,"['Doctor', 'Nurse']"
Walter Reed,"['Doctor', 'Nurse']"
Robert Nelson,"['Nurse', 'Doctor']"
Vivian Allen,"['Doctor', 'Nurse']"
Owen Murray,"['Doctor', 'Nurse']"
Oliver Williams,"['Doctor', 'Nurse']"
Frederick Reed,"['Nurse', 'Doctor']"
Lana Payne,"['Nurse', 'Doctor']"
Melissa Miller,"['Doctor', 'Nurse']"
Lana Richardson,"['Nurse', 'Doctor']"
James Watson,"['Nurse', 'Doctor']"
Jared Higgins,"['Nurse', 'Doctor']"
Jasmine Cole,"['Nurse', 'Doctor']"
Adam Grant,"['Doctor', 'Nurse']"
Annabella Owens,"['Doctor', 'Nurse']"
Briony Wright,"['Doctor', 'Nurse']"
Connie Richardson,"['Doctor', 'Nurse']"
Anna Ferguson,"['Doctor', 'Nurse']"
Albert Harper,"['Nurse', 'Doctor']"
Jordan Jones,"['Nurse', 'Doctor']"
Ryan Clark,"['Nurse', 'Doctor']"
Arianna Spencer,"['Doctor', 'Nurse']"
Amelia Murphy,"['Nurse', 'Doctor']"
Reid Ryan,"['Doctor', 'Nurse']"
Sofia Smith,"['Doctor', 'Nurse']"
Fenton Andrews,"['Doctor', 'Nurse']"
Fiona Casey,"['Nurse', 'Doctor']"
Savana Higgins,"['Doctor', 'Nurse']"
Sawyer Miller,"['Nurse', 'Doctor']"
Alissa Douglas,"['Doctor', 'Nurse']"
Kevin Harrison,"['Doctor', 'Nurse']"
Aston Allen,"['Nurse', 'Doctor']"
Patrick Wells,"['Nurse', 'Doctor']"
Tyler Cooper,"['Doctor', 'Nurse']"
Aston Roberts,"['Nurse', 'Doctor']"
Paige Douglas,"['Nurse', 'Doctor']"
Martin West,"['Doctor', 'Nurse']"
Ashton Owens,"['Nurse', 'Doctor']"
Emma Fowler,"['Nurse', 'Doctor']"
Ned Mitchell,"['Doctor', 'Nurse']"
Fiona Robinson,"['Nurse', 'Doctor']"
Belinda Hawkins,"['Doctor', 'Nurse']"
Lyndon Chapman,"['Nurse', 'Doctor']"
Paul Gray,"['Doctor', 'Nurse']"
Florrie Foster,"['Nurse', 'Doctor']"
Charlotte Fowler,"['Doctor', 'Nurse']"
Blake Bennett,"['Nurse', 'Doctor']"
Deanna Kelley,"['Doctor', 'Nurse']"
Roland Phillips,"['Doctor', 'Nurse']"
Kimberly Watson,"['Nurse', 'Doctor']"
Aiden Henderson,"['Doctor', 'Nurse']"
Adrianna Riley,"['Nurse', 'Doctor']"
Edwin Stewart,"['Doctor', 'Nurse']"
Kelvin Wright,"['Nurse', 'Doctor']"
Tara Richards,"['Doctor', 'Nurse']"
Rebecca Murray,"['Doctor', 'Nurse']"
Florrie Russell,"['Nurse', 'Doctor']"
Maddie Lloyd,"['Doctor', 'Nurse']"
Owen Rogers,"['Nurse', 'Doctor']"
Honey Montgomery,"['Doctor', 'Nurse']"
Rebecca Carroll,"['Doctor', 'Nurse']"
Charlotte Farrell,"['Nurse', 'Doctor']"
Maria Mason,"['Doctor', 'Nurse']"
Arnold Tucker,"['Nurse', 'Doctor']"
Amelia Elliott,"['Nurse', 'Doctor']"
Naomi Perry,"['Doctor', 'Nurse']"
