name and surname,preferences
Haris Brooks,"['System Engineer', 'Cybersecurity', 'Telecommunications', 'Programmer', 'Automation']"
Patrick Myers,"['Telecommunications', 'Cybersecurity', 'System Engineer', 'Programmer', 'Automation']"
Agata Allen,"['Telecommunications', 'Programmer', 'Automation', 'Cybersecurity', 'System Engineer']"
Roman Stewart,"['Telecommunications', 'System Engineer', 'Cybersecurity', 'Automation', 'Programmer']"
Bruce Gibson,"['Cybersecurity', 'System Engineer', 'Automation', 'Telecommunications', 'Programmer']"
David Ross,"['Telecommunications', 'Cybersecurity', 'Automation', 'System Engineer', 'Programmer']"
Anna Brown,"['Programmer', 'System Engineer', 'Telecommunications', 'Automation', 'Cybersecurity']"
Carl Murray,"['Automation', 'Programmer', 'System Engineer', 'Cybersecurity', 'Telecommunications']"
Dainton Casey,"['System Engineer', 'Programmer', 'Automation', 'Cybersecurity', 'Telecommunications']"
Victoria Kelly,"['Telecommunications', 'Programmer', 'System Engineer', 'Automation', 'Cybersecurity']"
Aldus Brown,"['System Engineer', 'Telecommunications', 'Cybersecurity', 'Programmer', 'Automation']"
Frederick Henderson,"['Automation', 'System Engineer', 'Telecommunications', 'Programmer', 'Cybersecurity']"
Elise Murphy,"['Programmer', 'Telecommunications', 'System Engineer', 'Cybersecurity', 'Automation']"
Daryl Parker,"['Cybersecurity', 'Telecommunications', 'Automation', 'System Engineer', 'Programmer']"
Richard Harrison,"['Programmer', 'Automation', 'Cybersecurity', 'Telecommunications', 'System Engineer']"
Adrian Hawkins,"['System Engineer', 'Cybersecurity', 'Automation', 'Telecommunications', 'Programmer']"
Byron Myers,"['Automation', 'Cybersecurity', 'Programmer', 'Telecommunications', 'System Engineer']"
Jessica Miller,"['Programmer', 'Cybersecurity', 'System Engineer', 'Automation', 'Telecommunications']"
Antony Riley,"['Cybersecurity', 'Automation', 'Telecommunications', 'Programmer', 'System Engineer']"
Victor Higgins,"['Automation', 'Programmer', 'System Engineer', 'Telecommunications', 'Cybersecurity']"
Frederick Harper,"['Cybersecurity', 'System Engineer', 'Automation', 'Telecommunications', 'Programmer']"
Abraham Campbell,"['System Engineer', 'Automation', 'Programmer', 'Telecommunications', 'Cybersecurity']"
Julia Baker,"['Cybersecurity', 'Programmer', 'System Engineer', 'Automation', 'Telecommunications']"
Adrian Gibson,"['Cybersecurity', 'Telecommunications', 'Programmer', 'Automation', 'System Engineer']"
Steven Williams,"['Cybersecurity', 'Telecommunications', 'Automation', 'Programmer', 'System Engineer']"
Vivian Nelson,"['Cybersecurity', 'Programmer', 'Automation', 'System Engineer', 'Telecommunications']"
Dominik Kelly,"['Programmer', 'Automation', 'Cybersecurity', 'Telecommunications', 'System Engineer']"
Carl Owens,"['Automation', 'Telecommunications', 'System Engineer', 'Cybersecurity', 'Programmer']"
Daisy Hill,"['Telecommunications', 'Automation', 'Programmer', 'Cybersecurity', 'System Engineer']"
Fiona Owens,"['Automation', 'Programmer', 'Cybersecurity', 'Telecommunications', 'System Engineer']"
Derek Cole,"['System Engineer', 'Cybersecurity', 'Telecommunications', 'Programmer', 'Automation']"
Jared Campbell,"['Cybersecurity', 'Telecommunications', 'Automation', 'System Engineer', 'Programmer']"
Cherry Richards,"['Programmer', 'System Engineer', 'Telecommunications', 'Automation', 'Cybersecurity']"
Aiden Cole,"['Telecommunications', 'Programmer', 'Cybersecurity', 'System Engineer', 'Automation']"
Chester Williams,"['Programmer', 'Cybersecurity', 'Automation', 'System Engineer', 'Telecommunications']"
Steven Murphy,"['Automation', 'Cybersecurity', 'System Engineer', 'Programmer', 'Telecommunications']"
Julia Hall,"['Telecommunications', 'Cybersecurity', 'System Engineer', 'Programmer', 'Automation']"
Madaline Payne,"['Telecommunications', 'Cybersecurity', 'System Engineer', 'Automation', 'Programmer']"
Aida Henderson,"['Automation', 'Programmer', 'System Engineer', 'Cybersecurity', 'Telecommunications']"
Amanda Andrews,"['Telecommunications', 'Programmer', 'Cybersecurity', 'Automation', 'System Engineer']"
Vanessa Thomas,"['Cybersecurity', 'System Engineer', 'Automation', 'Programmer', 'Telecommunications']"
Sofia Wells,"['Cybersecurity', 'Telecommunications', 'System Engineer', 'Automation', 'Programmer']"
Ada Dixon,"['Cybersecurity', 'Telecommunications', 'Programmer', 'System Engineer', 'Automation']"
Isabella Murray,"['Cybersecurity', 'System Engineer', 'Telecommunications', 'Automation', 'Programmer']"
Rebecca Taylor,"['Automation', 'System Engineer', 'Cybersecurity', 'Programmer', 'Telecommunications']"
Lana Dixon,"['Cybersecurity', 'Programmer', 'Telecommunications', 'Automation', 'System Engineer']"
Kellan Thomas,"['Automation', 'Programmer', 'Cybersecurity', 'Telecommunications', 'System Engineer']"
Arthur Grant,"['Telecommunications', 'Automation', 'Programmer', 'System Engineer', 'Cybersecurity']"
Ted Wells,"['Cybersecurity', 'Programmer', 'Automation', 'Telecommunications', 'System Engineer']"
Annabella Ryan,"['Cybersecurity', 'Telecommunications', 'System Engineer', 'Automation', 'Programmer']"
Adele Parker,"['Cybersecurity', 'Telecommunications', 'Programmer', 'Automation', 'System Engineer']"
Maximilian Chapman,"['Programmer', 'Cybersecurity', 'Telecommunications', 'System Engineer', 'Automation']"
Alisa Perry,"['Telecommunications', 'Programmer', 'Automation', 'System Engineer', 'Cybersecurity']"
Patrick Martin,"['Telecommunications', 'Cybersecurity', 'System Engineer', 'Programmer', 'Automation']"
Nicholas Johnston,"['Programmer', 'Automation', 'System Engineer', 'Cybersecurity', 'Telecommunications']"
Marcus Johnston,"['Telecommunications', 'Programmer', 'Automation', 'System Engineer', 'Cybersecurity']"
Vanessa Barnes,"['Telecommunications', 'Programmer', 'Automation', 'Cybersecurity', 'System Engineer']"
Elian Richards,"['Programmer', 'System Engineer', 'Telecommunications', 'Automation', 'Cybersecurity']"
Miller Dixon,"['Programmer', 'System Engineer', 'Cybersecurity', 'Automation', 'Telecommunications']"
Abigail Scott,"['System Engineer', 'Telecommunications', 'Automation', 'Cybersecurity', 'Programmer']"
Amy Gibson,"['Cybersecurity', 'Automation', 'System Engineer', 'Programmer', 'Telecommunications']"
Brooke Edwards,"['Cybersecurity', 'Telecommunications', 'Automation', 'Programmer', 'System Engineer']"
Tara Allen,"['System Engineer', 'Telecommunications', 'Cybersecurity', 'Automation', 'Programmer']"
Maddie Bennett,"['Cybersecurity', 'Telecommunications', 'System Engineer', 'Automation', 'Programmer']"
Anna Armstrong,"['System Engineer', 'Automation', 'Programmer', 'Cybersecurity', 'Telecommunications']"
Amy Bennett,"['System Engineer', 'Telecommunications', 'Programmer', 'Automation', 'Cybersecurity']"
Alisa Hall,"['Cybersecurity', 'System Engineer', 'Telecommunications', 'Programmer', 'Automation']"
Annabella Ross,"['Telecommunications', 'System Engineer', 'Programmer', 'Cybersecurity', 'Automation']"
Eleanor Douglas,"['Programmer', 'Cybersecurity', 'System Engineer', 'Telecommunications', 'Automation']"
Walter Cameron,"['Telecommunications', 'Programmer', 'System Engineer', 'Automation', 'Cybersecurity']"
Ashton Murray,"['Telecommunications', 'System Engineer', 'Programmer', 'Cybersecurity', 'Automation']"
Nicole Baker,"['Automation', 'Telecommunications', 'Cybersecurity', 'System Engineer', 'Programmer']"
Fenton Scott,"['System Engineer', 'Programmer', 'Cybersecurity', 'Automation', 'Telecommunications']"
Lilianna Kelly,"['System Engineer', 'Programmer', 'Telecommunications', 'Cybersecurity', 'Automation']"
Albert Myers,"['Cybersecurity', 'Telecommunications', 'Automation', 'Programmer', 'System Engineer']"
Maximilian Sullivan,"['Cybersecurity', 'Programmer', 'System Engineer', 'Telecommunications', 'Automation']"
Alen Grant,"['System Engineer', 'Programmer', 'Telecommunications', 'Cybersecurity', 'Automation']"
