name and surname,preferences
Lyndon Richards,"['Teacher', 'HeadMaster']"
Maddie Chapman,"['Teacher', 'HeadMaster']"
Stella Edwards,"['HeadMaster', 'Teacher']"
Roman Harper,"['HeadMaster', 'Teacher']"
Stuart Smith,"['Teacher', 'HeadMaster']"
Ryan Alexander,"['HeadMaster', 'Teacher']"
Adelaide Turner,"['Teacher', 'HeadMaster']"
Amanda West,"['Teacher', 'HeadMaster']"
Carl Walker,"['HeadMaster', 'Teacher']"
Fenton Ellis,"['HeadMaster', 'Teacher']"
Eleanor West,"['Teacher', 'HeadMaster']"
Deanna Robinson,"['Teacher', 'HeadMaster']"
Violet Anderson,"['HeadMaster', 'Teacher']"
April Howard,"['Teacher', 'HeadMaster']"
Abraham Casey,"['HeadMaster', 'Teacher']"
Miranda Miller,"['Teacher', 'HeadMaster']"
Charlotte Parker,"['HeadMaster', 'Teacher']"
Emily Carter,"['HeadMaster', 'Teacher']"
Leonardo Thompson,"['Teacher', 'HeadMaster']"
Daniel Gibson,"['Teacher', 'HeadMaster']"
Jessica Riley,"['Teacher', 'HeadMaster']"
Wilson Phillips,"['HeadMaster', 'Teacher']"
Jordan Turner,"['Teacher', 'HeadMaster']"
Edward Wells,"['Teacher', 'HeadMaster']"
Rubie Brown,"['HeadMaster', 'Teacher']"
Andrew Russell,"['HeadMaster', 'Teacher']"
Joyce Harris,"['HeadMaster', 'Teacher']"
Melanie Stevens,"['Teacher', 'HeadMaster']"
Grace Foster,"['Teacher', 'HeadMaster']"
Kevin Perkins,"['Teacher', 'HeadMaster']"
Steven Ross,"['Teacher', 'HeadMaster']"
Lydia Clark,"['Teacher', 'HeadMaster']"
Melanie Sullivan,"['HeadMaster', 'Teacher']"
Owen Henderson,"['Teacher', 'HeadMaster']"
Stella Johnson,"['Teacher', 'HeadMaster']"
Anna Robinson,"['HeadMaster', 'Teacher']"
Victor Tucker,"['Teacher', 'HeadMaster']"
Blake Wells,"['Teacher', 'HeadMaster']"
Amelia Crawford,"['Teacher', 'HeadMaster']"
Roland Harris,"['HeadMaster', 'Teacher']"
Isabella Nelson,"['HeadMaster', 'Teacher']"
Elian Stevens,"['Teacher', 'HeadMaster']"
Tiana Morgan,"['Teacher', 'HeadMaster']"
Daniel Turner,"['Teacher', 'HeadMaster']"
Chloe Sullivan,"['HeadMaster', 'Teacher']"
Chloe Warren,"['Teacher', 'HeadMaster']"
Adelaide Mitchell,"['HeadMaster', 'Teacher']"
Carl Payne,"['HeadMaster', 'Teacher']"
Tara Mason,"['HeadMaster', 'Teacher']"
Harold Morgan,"['Teacher', 'HeadMaster']"
Sabrina Miller,"['Teacher', 'HeadMaster']"
Arnold Edwards,"['Teacher', 'HeadMaster']"
Amelia Murray,"['HeadMaster', 'Teacher']"
Nicole Edwards,"['Teacher', 'HeadMaster']"
Michael Johnston,"['Teacher', 'HeadMaster']"
Kimberly Wells,"['HeadMaster', 'Teacher']"
Violet Morgan,"['HeadMaster', 'Teacher']"
Camila Bennett,"['HeadMaster', 'Teacher']"
Jacob Watson,"['HeadMaster', 'Teacher']"
Albert Armstrong,"['HeadMaster', 'Teacher']"
Caroline Stevens,"['HeadMaster', 'Teacher']"
Tess Craig,"['HeadMaster', 'Teacher']"
Catherine Cole,"['HeadMaster', 'Teacher']"
Patrick Morrison,"['Teacher', 'HeadMaster']"
Caroline Morgan,"['HeadMaster', 'Teacher']"
Maddie Higgins,"['HeadMaster', 'Teacher']"
Camila Hamilton,"['HeadMaster', 'Teacher']"
Valeria Watson,"['Teacher', 'HeadMaster']"
Amelia Ryan,"['HeadMaster', 'Teacher']"
Ted Watson,"['HeadMaster', 'Teacher']"
Haris Armstrong,"['HeadMaster', 'Teacher']"
Brooke Sullivan,"['HeadMaster', 'Teacher']"
Tara Hamilton,"['HeadMaster', 'Teacher']"
Blake Ryan,"['HeadMaster', 'Teacher']"
Oscar Bennett,"['Teacher', 'HeadMaster']"
Richard Hawkins,"['Teacher', 'HeadMaster']"
Robert Martin,"['Teacher', 'HeadMaster']"
Maria Carroll,"['HeadMaster', 'Teacher']"
Cadie Tucker,"['Teacher', 'HeadMaster']"
Walter Lloyd,"['Teacher', 'HeadMaster']"
Fiona Alexander,"['HeadMaster', 'Teacher']"
Darcy Perry,"['Teacher', 'HeadMaster']"
Alfred Campbell,"['Teacher', 'HeadMaster']"
John Hamilton,"['Teacher', 'HeadMaster']"
Charlie Phillips,"['Teacher', 'HeadMaster']"
Chelsea Bennett,"['HeadMaster', 'Teacher']"
Tara Brown,"['HeadMaster', 'Teacher']"
Dale Scott,"['Teacher', 'HeadMaster']"
James Stevens,"['HeadMaster', 'Teacher']"
Luke Cooper,"['HeadMaster', 'Teacher']"
