name and surname,preferences
Miller Ryan,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Jack Perry,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Amy Hawkins,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Tiana Russell,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Isabella Crawford,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Maddie Nelson,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Catherine Spencer,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Jacob Chapman,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Tess Smith,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Walter Campbell,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Adison Andrews,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Alford Wilson,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Brad Dixon,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
George Richardson,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Luke Adams,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Spike Johnson,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Amber Barrett,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Richard Clark,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Fiona Cole,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Edith Richards,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Cadie Baker,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Tess Kelley,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Charlie Montgomery,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Alissa Hunt,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Fenton Bennett,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Dexter Morrison,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Spike Taylor,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Lilianna Alexander,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
George Morgan,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Alford Warren,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Adrian Andrews,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Vincent Clark,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Ryan Johnston,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Chelsea Wright,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Lucas Douglas,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
James Mitchell,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Ryan Parker,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Dexter Phillips,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
James Johnston,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Justin Harper,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Aiden Barnes,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Bruce Crawford,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Robert Farrell,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Miller Davis,"['Shop clerk', 'Cleaning', 'Delivery', 'Waiter']"
Chester Sullivan,"['Delivery', 'Cleaning', 'Shop clerk', 'Waiter']"
Darcy Parker,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Edwin Morgan,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Brooke Smith,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Alen Brown,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Luke Payne,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Alissa Montgomery,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Maximilian Morrison,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Adele Craig,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Samantha Spencer,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Violet Johnson,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Sawyer Williams,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Frederick West,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Ted Mason,"['Shop clerk', 'Cleaning', 'Delivery', 'Waiter']"
Anna Watson,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Daryl Harris,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Kirsten Taylor,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Cherry Spencer,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Darcy Russell,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Tyler Gray,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
William Carter,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Stella Reed,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Sam Smith,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Naomi Casey,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Lilianna Cameron,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Amy Ryan,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Elian Murphy,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Alan Watson,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Jacob Farrell,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
