ID,name and surname,score,working environment
1569,Oliver Owens,84,healthcare
2767,Paige Cunningham,83,healthcare
4529,Brad Walker,83,healthcare
1399,Abraham Holmes,82,healthcare
936,Andrew Richards,81,healthcare
4205,Belinda Farrell,80,healthcare
2401,Kevin West,80,healthcare
4692,Dexter Morris,79,healthcare
1666,Elian Miller,77,healthcare
1977,Spike West,77,healthcare
6707,Lily Tucker,77,healthcare
718,Maximilian Baker,77,healthcare
2719,Valeria Richardson,77,healthcare
1598,Melissa Foster,77,healthcare
3969,Catherine Harrison,76,healthcare
337,Lydia Fowler,76,healthcare
4451,Sophia Casey,75,healthcare
4374,Lana Armstrong,75,healthcare
1732,Emily Foster,75,healthcare
1216,Savana Johnson,75,healthcare
4776,Penelope Owens,74,healthcare
515,Steven Jones,73,healthcare
1233,Arianna Morris,73,healthcare
1669,Haris Higgins,73,healthcare
2966,Melanie Riley,73,healthcare
7009,Clark Roberts,73,healthcare
901,Darcy Morris,73,healthcare
2886,Jenna Montgomery,73,healthcare
3728,George Carter,72,healthcare
3485,John Bennett,72,healthcare
3948,Melanie Anderson,71,healthcare
6959,Fenton Murray,71,healthcare
219,Sam Taylor,71,healthcare
3169,Justin Rogers,71,healthcare
4633,Dale Wells,70,healthcare
1091,Sydney Thompson,70,healthcare
6337,Alfred Nelson,70,healthcare
1986,Ted Chapman,70,healthcare
424,Albert Smith,70,healthcare
3920,Wilson Harris,70,healthcare
1321,Isabella Parker,70,healthcare
1679,Adrian Rogers,69,healthcare
3578,Patrick Fowler,69,healthcare
6685,James Reed,69,healthcare
4270,Rafael Phillips,69,healthcare
4268,Julia Edwards,69,healthcare
4305,Walter Reed,69,healthcare
3925,Robert Nelson,69,healthcare
6808,Vivian Allen,69,healthcare
5302,Owen Murray,69,healthcare
3556,Oliver Williams,68,healthcare
4733,Frederick Reed,68,healthcare
1445,Lana Payne,68,healthcare
1475,Melissa Miller,68,healthcare
4605,Lana Richardson,68,healthcare
362,James Watson,68,healthcare
4935,Jared Higgins,68,healthcare
2599,Jasmine Cole,68,healthcare
2323,Adam Grant,68,healthcare
1684,Annabella Owens,68,healthcare
4859,Briony Wright,68,healthcare
6790,Connie Richardson,68,healthcare
2407,Anna Ferguson,68,healthcare
1941,Albert Harper,67,healthcare
3558,Jordan Jones,67,healthcare
2960,Ryan Clark,67,healthcare
1615,Arianna Spencer,67,healthcare
615,Amelia Murphy,67,healthcare
4299,Reid Ryan,67,healthcare
558,Sofia Smith,67,healthcare
1667,Fenton Andrews,67,healthcare
1665,Fiona Casey,67,healthcare
6288,Savana Higgins,67,healthcare
2469,Sawyer Miller,66,healthcare
3596,Alissa Douglas,66,healthcare
4772,Kevin Harrison,66,healthcare
1492,Aston Allen,66,healthcare
4227,Patrick Wells,66,healthcare
951,Tyler Cooper,66,healthcare
3536,Aston Roberts,66,healthcare
1989,Paige Douglas,66,healthcare
1231,Martin West,66,healthcare
3699,Ashton Owens,66,healthcare
1385,Emma Fowler,66,healthcare
813,Ned Mitchell,66,healthcare
2706,Fiona Robinson,66,healthcare
6909,Belinda Hawkins,66,healthcare
498,Lyndon Chapman,66,healthcare
683,Paul Gray,66,healthcare
4486,Florrie Foster,66,healthcare
4285,Charlotte Fowler,65,healthcare
2573,Blake Bennett,65,healthcare
5011,Deanna Kelley,65,healthcare
2339,Roland Phillips,65,healthcare
3177,Kimberly Watson,65,healthcare
3324,Aiden Henderson,65,healthcare
889,Adrianna Riley,65,healthcare
2070,Edwin Stewart,65,healthcare
2964,Kelvin Wright,65,healthcare
965,Tara Richards,64,healthcare
4938,Rebecca Murray,64,healthcare
2990,Florrie Russell,64,healthcare
4382,Maddie Lloyd,64,healthcare
3774,Owen Rogers,64,healthcare
1474,Honey Montgomery,64,healthcare
1461,Rebecca Carroll,64,healthcare
3421,Charlotte Farrell,64,healthcare
1543,Maria Mason,64,healthcare
3754,Arnold Tucker,64,healthcare
3183,Amelia Elliott,64,healthcare
1801,Naomi Perry,64,healthcare
1257,Garry Andrews,63,healthcare
4220,Mike Hawkins,63,healthcare
268,Aida Baker,63,healthcare
6595,Alan Montgomery,63,healthcare
6756,Caroline Clark,63,healthcare
314,Michael Alexander,63,healthcare
4269,Emily Stevens,63,healthcare
279,Adelaide Barnes,63,healthcare
3396,Rubie Hunt,63,healthcare
3905,Vivian Parker,63,healthcare
862,Brad Montgomery,63,healthcare
2799,Alexia Wright,62,healthcare
1536,Kristian Farrell,62,healthcare
873,Mike Howard,62,healthcare
6711,Arianna Baker,62,healthcare
6636,Carlos Douglas,62,healthcare
