ID,name and surname,score,working environment
4464,Haris Brooks,94,Informatics
2570,Patrick Myers,90,Informatics
6771,Agata Allen,85,Informatics
1235,Roman Stewart,84,Informatics
1827,Bruce Gibson,84,Informatics
4589,David Ross,83,Informatics
3707,Anna Brown,82,Informatics
1433,Carl Murray,81,Informatics
6930,Dainton Casey,80,Informatics
1521,Victoria Kelly,79,Informatics
6915,Aldus Brown,79,Informatics
4984,Frederick Henderson,78,Informatics
1677,Elise Murphy,77,Informatics
985,Daryl Parker,76,Informatics
2544,Richard Harrison,76,Informatics
3635,Adrian Hawkins,76,Informatics
2331,Byron Myers,76,Informatics
4635,Jessica Miller,75,Informatics
1844,Antony Riley,75,Informatics
2908,Victor Higgins,75,Informatics
2883,Frederick Harper,75,Informatics
6783,Abraham Campbell,75,Informatics
4004,Julia Baker,74,Informatics
1268,Adrian Gibson,73,Informatics
1531,Steven Williams,73,Informatics
358,Vivian Nelson,73,Informatics
5280,Dominik Kelly,73,Informatics
1199,Carl Owens,72,Informatics
3860,Daisy Hill,72,Informatics
4456,Fiona Owens,72,Informatics
3041,Derek Cole,72,Informatics
5228,Jared Campbell,71,Informatics
6904,Cherry Richards,71,Informatics
5104,Aiden Cole,71,Informatics
2929,Chester Williams,71,Informatics
352,Steven Murphy,71,Informatics
3437,Julia Hall,71,Informatics
854,Madaline Payne,71,Informatics
7003,Aida Henderson,71,Informatics
6602,Amanda Andrews,70,Informatics
700,Vanessa Thomas,70,Informatics
4472,Sofia Wells,70,Informatics
657,Ada Dixon,70,Informatics
4767,Isabella Murray,70,Informatics
5281,Rebecca Taylor,70,Informatics
483,Lana Dixon,70,Informatics
274,Kellan Thomas,69,Informatics
954,Arthur Grant,69,Informatics
3823,Ted Wells,69,Informatics
898,Annabella Ryan,69,Informatics
4338,Adele Parker,69,Informatics
328,Maximilian Chapman,69,Informatics
3760,Alisa Perry,69,Informatics
2474,Patrick Martin,69,Informatics
4622,Nicholas Johnston,69,Informatics
6311,Marcus Johnston,69,Informatics
768,Vanessa Barnes,68,Informatics
3576,Elian Richards,68,Informatics
4801,Miller Dixon,68,Informatics
3686,Abigail Scott,68,Informatics
3174,Amy Gibson,68,Informatics
3568,Brooke Edwards,68,Informatics
3565,Tara Allen,68,Informatics
3354,Maddie Bennett,68,Informatics
4751,Anna Armstrong,68,Informatics
3059,Amy Bennett,68,Informatics
4197,Alisa Hall,68,Informatics
5118,Annabella Ross,68,Informatics
1746,Eleanor Douglas,68,Informatics
4007,Walter Cameron,68,Informatics
1858,Ashton Murray,68,Informatics
4397,Nicole Baker,68,Informatics
4674,Fenton Scott,67,Informatics
586,Lilianna Kelly,67,Informatics
6224,Albert Myers,67,Informatics
6218,Maximilian Sullivan,67,Informatics
1108,Alen Grant,67,Informatics
5070,Daisy Campbell,67,Informatics
2789,Brooke Davis,67,Informatics
5236,Spike Perkins,67,Informatics
5183,Aiden Stewart,67,Informatics
750,Connie Alexander,67,Informatics
2770,Edith Wright,67,Informatics
4869,Owen Richards,67,Informatics
952,Stella Campbell,67,Informatics
2426,Eleanor Ferguson,66,Informatics
2826,Samantha Murray,66,Informatics
869,Eddy Brooks,66,Informatics
1938,Roman Carter,66,Informatics
6663,William Walker,66,Informatics
1870,Jasmine Morrison,66,Informatics
1304,Jared Armstrong,66,Informatics
1249,Justin Reed,65,Informatics
6834,Blake Clark,65,Informatics
2672,Michael Rogers,65,Informatics
3258,Maya Thompson,65,Informatics
1826,Kelvin Perkins,65,Informatics
685,Wilson Johnson,65,Informatics
1044,Cherry Gibson,65,Informatics
1080,Antony Watson,65,Informatics
2353,Tara Jones,65,Informatics
4241,Honey Dixon,65,Informatics
4028,Patrick Lloyd,65,Informatics
6651,Carl Hunt,65,Informatics
3601,Adison Phillips,65,Informatics
3113,Sofia Richards,65,Informatics
6312,Patrick Brown,65,Informatics
3965,Sienna Hall,65,Informatics
708,Eddy Walker,65,Informatics
2655,Frederick Kelley,64,Informatics
3877,Steven Nelson,64,Informatics
971,Alen Warren,64,Informatics
1504,Walter Douglas,64,Informatics
5132,Elian Murray,64,Informatics
990,Alfred Hill,64,Informatics
4668,George Turner,64,Informatics
1006,Lily Mason,64,Informatics
1323,Jared Riley,64,Informatics
3869,Maddie Richards,64,Informatics
4637,Patrick Bennett,64,Informatics
6229,Eddy Sullivan,64,Informatics
4247,Cadie Ferguson,64,Informatics
3392,Ned Elliott,64,Informatics
1335,Lilianna Chapman,64,Informatics
4530,Grace Phillips,64,Informatics
5059,Maximilian Harris,64,Informatics
5201,Eddy Evans,64,Informatics
3848,Maya Edwards,64,Informatics
550,Maria Smith,64,Informatics
3904,Olivia Chapman,63,Informatics
3321,Gianna Crawford,63,Informatics
4754,Jenna Carter,63,Informatics
973,Charlotte Chapman,63,Informatics
1447,Charlie Elliott,63,Informatics
3842,Joyce Gibson,63,Informatics
6828,Paige Henderson,63,Informatics
2587,Max Wells,63,Informatics
6609,Abraham Reed,63,Informatics
1568,Kate Sullivan,63,Informatics
639,Haris Ferguson,63,Informatics
595,Lenny Barnes,63,Informatics
2617,Kristian Hamilton,62,Informatics
4608,Lucia Ferguson,62,Informatics
1253,Belinda Gray,62,Informatics
