ID,name and surname,score,working environment
3725,Lyndon Richards,91,Instruction
4572,Maddie Chapman,90,Instruction
979,Stella Edwards,87,Instruction
1023,Roman Harper,84,Instruction
5425,Stuart Smith,82,Instruction
4545,Ryan Alexander,82,Instruction
891,Adelaide Turner,82,Instruction
4251,Amanda West,80,Instruction
2848,Carl Walker,79,Instruction
1879,Fenton Ellis,79,Instruction
3817,Eleanor West,79,Instruction
3634,Deanna Robinson,79,Instruction
2314,Violet Anderson,78,Instruction
4300,April Howard,78,Instruction
4960,Abraham Casey,78,Instruction
1217,Miranda Miller,76,Instruction
3543,Charlotte Parker,76,Instruction
820,Emily Carter,75,Instruction
212,Leonardo Thompson,75,Instruction
6703,Daniel Gibson,75,Instruction
2996,Jessica Riley,75,Instruction
3957,Wilson Phillips,74,Instruction
624,Jordan Turner,74,Instruction
917,Edward Wells,73,Instruction
1186,Rubie Brown,73,Instruction
4657,Andrew Russell,73,Instruction
6271,Joyce Harris,72,Instruction
1432,Melanie Stevens,72,Instruction
5436,Grace Foster,72,Instruction
1181,Kevin Perkins,71,Instruction
1727,Steven Ross,71,Instruction
1365,Lydia Clark,71,Instruction
2600,Melanie Sullivan,70,Instruction
458,Owen Henderson,70,Instruction
6223,Stella Johnson,70,Instruction
2388,Anna Robinson,70,Instruction
4225,Victor Tucker,70,Instruction
6789,Blake Wells,70,Instruction
6718,Amelia Crawford,70,Instruction
1112,Roland Harris,70,Instruction
3464,Isabella Nelson,70,Instruction
6821,Elian Stevens,70,Instruction
5430,Tiana Morgan,70,Instruction
4675,Daniel Turner,69,Instruction
894,Chloe Sullivan,69,Instruction
4198,Chloe Warren,69,Instruction
2539,Adelaide Mitchell,69,Instruction
2489,Carl Payne,69,Instruction
828,Tara Mason,69,Instruction
4658,Harold Morgan,68,Instruction
1566,Sabrina Miller,68,Instruction
6292,Arnold Edwards,68,Instruction
2675,Amelia Murray,68,Instruction
1287,Nicole Edwards,68,Instruction
4516,Michael Johnston,68,Instruction
3697,Kimberly Wells,68,Instruction
5328,Violet Morgan,67,Instruction
2923,Camila Bennett,67,Instruction
3654,Jacob Watson,67,Instruction
4704,Albert Armstrong,67,Instruction
3352,Caroline Stevens,67,Instruction
4494,Tess Craig,67,Instruction
608,Catherine Cole,67,Instruction
273,Patrick Morrison,67,Instruction
4536,Caroline Morgan,66,Instruction
1540,Maddie Higgins,66,Instruction
4976,Camila Hamilton,66,Instruction
6330,Valeria Watson,66,Instruction
3572,Amelia Ryan,66,Instruction
2801,Ted Watson,66,Instruction
3824,Haris Armstrong,66,Instruction
3765,Brooke Sullivan,66,Instruction
1932,Tara Hamilton,66,Instruction
4009,Blake Ryan,65,Instruction
5346,Oscar Bennett,65,Instruction
3585,Richard Hawkins,65,Instruction
774,Robert Martin,65,Instruction
3910,Maria Carroll,65,Instruction
2071,Cadie Tucker,65,Instruction
1856,Walter Lloyd,65,Instruction
3002,Fiona Alexander,65,Instruction
1734,Darcy Perry,65,Instruction
1985,Alfred Campbell,65,Instruction
264,John Hamilton,64,Instruction
4689,Charlie Phillips,64,Instruction
1171,Chelsea Bennett,64,Instruction
2110,Tara Brown,64,Instruction
3977,Dale Scott,64,Instruction
1238,James Stevens,64,Instruction
1823,Luke Cooper,64,Instruction
1604,Fenton Taylor,64,Instruction
4527,Arianna Miller,64,Instruction
4329,Alan Jones,64,Instruction
5029,Sabrina Stewart,64,Instruction
3670,Lucia Henderson,64,Instruction
1245,Maya Higgins,64,Instruction
6995,Steven Watson,64,Instruction
784,Garry Parker,63,Instruction
5338,Emma Gray,63,Instruction
1414,Roland Nelson,63,Instruction
4785,Haris Andrews,63,Instruction
692,Adrianna Payne,63,Instruction
6541,Vivian Ferguson,63,Instruction
958,Kirsten Evans,63,Instruction
4304,Aston Murray,63,Instruction
5271,Frederick Hunt,63,Instruction
1103,Ashton Alexander,62,Instruction
1039,Robert Sullivan,62,Instruction
2662,Vivian Cameron,62,Instruction
5019,Vincent Crawford,62,Instruction
1967,Chester Davis,62,Instruction
1913,Jordan Hall,62,Instruction
4798,Abigail Russell,62,Instruction
3623,Aldus Moore,62,Instruction
3157,Deanna Alexander,62,Instruction
6284,Jessica Thompson,62,Instruction
2048,Reid Tucker,62,Instruction
1541,Lily Evans,62,Instruction
6234,Kate Barnes,62,Instruction
1015,Natalie Montgomery,62,Instruction
609,Lily Wilson,62,Instruction
1586,Roland Miller,62,Instruction
3261,Isabella Andrews,62,Instruction
2584,Sarah Turner,62,Instruction
2402,Henry Wilson,62,Instruction
2741,Rosie Barnes,62,Instruction
4246,Harold Walker,62,Instruction
1198,Adelaide Myers,61,Instruction
1274,Aldus Ryan,61,Instruction
3152,Edgar Higgins,61,Instruction
4223,Alberta Hamilton,61,Instruction
3319,Lana Watson,61,Instruction
1706,Hailey Cunningham,61,Instruction
4286,Grace Murray,61,Instruction
4272,Amber Grant,61,Instruction
3080,Audrey Sullivan,61,Instruction
944,Adison Morgan,61,Instruction
1789,Alberta Nelson,61,Instruction
3053,Tyler Carter,61,Instruction
1074,Vivian Douglas,61,Instruction
3337,Alisa Mason,61,Instruction
2654,Alisa Sullivan,61,Instruction
490,Oscar Barnes,60,Instruction
462,Garry Perry,60,Instruction
742,Lily Turner,60,Instruction
245,Sabrina Andrews,60,Instruction
3945,Anna Taylor,60,Instruction
1972,Rubie Gray,60,Instruction
4609,Paige Hawkins,60,Instruction
547,Ryan Elliott,60,Instruction
1305,Max West,60,Instruction
864,Agata Brown,60,Instruction
1396,Alan Wright,59,Instruction
6570,Kevin Watson,59,Instruction
6621,Rubie Adams,59,Instruction
1408,Alford Scott,59,Instruction
3522,Roland Ferguson,59,Instruction
3054,Alberta West,59,Instruction
2685,Catherine Mitchell,59,Instruction
5406,Evelyn Miller,59,Instruction
753,Alen Harris,59,Instruction
5391,Ted Evans,59,Instruction
5130,Ada Chapman,59,Instruction
4980,Samantha Ross,59,Instruction
4964,Brooke Robinson,59,Instruction
5446,Cadie Wilson,59,Instruction
4844,Tiana Nelson,59,Instruction
5207,Alissa Perkins,59,Instruction
449,Vincent Hamilton,59,Instruction
5259,Haris Reed,59,Instruction
484,Audrey Bennett,59,Instruction
4628,Alfred Spencer,59,Instruction
638,Derek Watson,59,Instruction
4218,Lilianna Martin,59,Instruction
4199,Violet Owens,59,Instruction
202,Emily Grant,59,Instruction
3859,Alan Hall,58,Instruction
2063,Miller Harrison,58,Instruction
3950,Anna Mason,58,Instruction
576,Paul Barnes,58,Instruction
2651,Lenny Ellis,58,Instruction
3851,Brianna Clark,58,Instruction
2472,Garry Cooper,58,Instruction
6934,Luke Campbell,58,Instruction
3208,Leonardo Foster,58,Instruction
3233,Blake Holmes,58,Instruction
5298,Miller Nelson,58,Instruction
938,Lenny Andrews,58,Instruction
2065,Alisa Harper,58,Instruction
1145,Naomi Wilson,58,Instruction
1554,Penelope Cunningham,58,Instruction
4017,Arnold Wells,58,Instruction
6047,Oliver Brown,58,Instruction
2444,Alberta Chapman,58,Instruction
1296,Kristian Dixon,58,Instruction
271,Blake Brooks,58,Instruction
1336,Tess Fowler,58,Instruction
2351,Patrick Roberts,57,Instruction
6709,Patrick Brooks,57,Instruction
3566,Michael Carter,57,Instruction
466,Sydney Nelson,57,Instruction
1470,Edwin Robinson,57,Instruction
3901,Deanna Johnston,57,Instruction
1804,Melanie Murray,57,Instruction
5283,Blake Adams,57,Instruction
3834,Jack Warren,57,Instruction
4909,Clark Kelly,57,Instruction
570,Sam Scott,57,Instruction
866,Sabrina Fowler,57,Instruction
3952,Rafael Hill,57,Instruction
4624,Martin Chapman,57,Instruction
3121,Rosie Montgomery,57,Instruction
2438,Leonardo Baker,57,Instruction
3127,Carina Richards,57,Instruction
1547,Steven Warren,56,Instruction
6735,Eddy Hunt,56,Instruction
3300,Jordan Walker,56,Instruction
2612,Adam Rogers,56,Instruction
1075,Samantha Harrison,56,Instruction
1584,Preston Parker,56,Instruction
2602,Garry Stevens,56,Instruction
334,Alexander Harris,56,Instruction
1592,Alfred Moore,56,Instruction
3044,Lana Hall,56,Instruction
1872,Bruce Mason,56,Instruction
5390,Rosie Armstrong,56,Instruction
4700,Melanie Montgomery,56,Instruction
5322,Sofia Howard,56,Instruction
4691,Aiden Mason,56,Instruction
3500,Haris Murray,56,Instruction
504,Isabella Thomas,56,Instruction
512,Cadie Henderson,56,Instruction
520,William Fowler,56,Instruction
5394,Annabella Jones,55,Instruction
2526,Mike Barrett,55,Instruction
6981,Sofia Reed,55,Instruction
4636,Paul Bennett,55,Instruction
4868,Brooke Richards,55,Instruction
5420,Aston Edwards,55,Instruction
4839,Preston Anderson,55,Instruction
3791,Ellia Bailey,55,Instruction
1831,Naomi Morrison,55,Instruction
2981,Michelle Evans,55,Instruction
4576,Fiona Cameron,55,Instruction
4422,Freddie Alexander,55,Instruction
262,Mary Hamilton,55,Instruction
1522,Albert Farrell,55,Instruction
3200,Elian Gray,55,Instruction
1675,Justin Wilson,55,Instruction
983,Walter Nelson,55,Instruction
6300,Lenny Jones,54,Instruction
3303,Evelyn Allen,54,Instruction
6200,Edward Cameron,54,Instruction
2504,Stella Bennett,54,Instruction
3267,Jordan Campbell,54,Instruction
4421,Albert Harris,54,Instruction
3035,Brooke Holmes,54,Instruction
5513,Spike Barnes,54,Instruction
3698,Emma Mason,54,Instruction
3604,Lucia Harper,54,Instruction
1744,Rosie Hill,54,Instruction
1624,Adelaide West,54,Instruction
2115,Rafael Payne,54,Instruction
1088,Lana Scott,54,Instruction
1894,Derek Russell,54,Instruction
1709,Edward Howard,54,Instruction
1654,William Harris,54,Instruction
1188,Alen Foster,54,Instruction
