ID,name and surname,score,working environment
926,Oscar Williams,74,Worker
3757,Tyler Anderson,74,Worker
3936,Aston Johnson,72,Worker
4469,Miley Cooper,71,Worker
4832,Honey Baker,70,Worker
6660,Deanna Grant,70,Worker
1248,Aiden Casey,69,Worker
1816,Anna Richardson,69,Worker
3249,Aston Harrison,69,Worker
6213,Violet Thompson,69,Worker
1441,Alan Harper,69,Worker
5393,Camila Sullivan,69,Worker
4959,Myra Jones,68,Worker
1334,Vivian Wells,68,Worker
3759,Edward Douglas,68,Worker
5165,Kate Richardson,68,Worker
3630,Walter Robinson,68,Worker
969,Valeria Harrison,67,Worker
4946,Alisa Murphy,67,Worker
3706,Frederick Stevens,66,Worker
275,Cherry Kelley,66,Worker
2646,Blake Thompson,65,Worker
3727,Abraham Richardson,65,Worker
1502,Stella Richardson,65,Worker
4679,Adele Johnston,65,Worker
4292,Rosie Walker,65,Worker
3849,Cadie Barrett,65,Worker
1153,Henry Kelley,64,Worker
2493,Paul West,64,Worker
1526,Adison Morris,64,Worker
2971,Sabrina Brooks,64,Worker
2625,Lucia Howard,64,Worker
1424,Sydney Davis,63,Worker
3787,Oscar Reed,63,Worker
4400,Sam Perkins,63,Worker
3890,Adrianna Richardson,63,Worker
735,Ryan Murphy,63,Worker
3970,Nicholas Spencer,62,Worker
4945,Clark Martin,62,Worker
3597,Naomi Ferguson,62,Worker
3049,Maria Montgomery,62,Worker
3344,Garry Harris,62,Worker
6613,Mary Parker,62,Worker
1178,Julia Nelson,62,Worker
4321,Aida Spencer,62,Worker
2480,Cherry Cooper,62,Worker
1426,Mary Williams,62,Worker
1889,Gianna Grant,62,Worker
1750,Bruce Watson,62,Worker
2819,Sydney Adams,61,Worker
934,Abraham Tucker,61,Worker
3947,Kelvin Kelly,61,Worker
6671,Maya Cameron,61,Worker
2463,Adison Chapman,61,Worker
2009,Lydia Allen,61,Worker
2986,Victoria Morrison,61,Worker
3008,Vincent Douglas,61,Worker
3662,Reid Edwards,61,Worker
3153,Lyndon Harris,61,Worker
1509,Lilianna Johnston,61,Worker
4895,George Cunningham,60,Worker
4747,Alissa Robinson,60,Worker
6577,Steven Douglas,60,Worker
3867,Maximilian Carroll,60,Worker
6525,Michelle Phillips,60,Worker
4804,Kate Taylor,60,Worker
1086,Brianna Jones,60,Worker
1655,Sydney Harper,60,Worker
322,Alan Campbell,60,Worker
881,Adison Foster,60,Worker
4985,Daisy Rogers,60,Worker
4231,Carl Roberts,60,Worker
5106,Maya Jones,60,Worker
3609,Lily Armstrong,60,Worker
3091,Belinda Walker,59,Worker
729,Vincent Chapman,59,Worker
4971,Alexander Cole,59,Worker
6308,Mike Parker,59,Worker
3994,Rebecca Ryan,59,Worker
580,Vivian Henderson,59,Worker
4559,James Cunningham,59,Worker
3043,Agata Montgomery,59,Worker
4703,Rubie Foster,59,Worker
3913,Audrey Parker,59,Worker
3917,Madaline Carter,59,Worker
5030,Alisa Dixon,59,Worker
304,Tony Tucker,59,Worker
1458,Lily Barnes,59,Worker
338,Catherine Robinson,59,Worker
1628,Melissa Douglas,59,Worker
6668,Adele Hunt,59,Worker
5215,Eric Warren,58,Worker
3684,Arthur Campbell,58,Worker
3029,Camila Kelly,58,Worker
1707,Jack Hunt,58,Worker
1829,Ellia Miller,58,Worker
3028,Ryan Baker,58,Worker
4235,Dominik Cooper,58,Worker
4580,Fiona Warren,58,Worker
6764,Sam Murray,58,Worker
426,Aiden Kelly,58,Worker
895,Emma Cameron,58,Worker
1573,Valeria Jones,58,Worker
1218,Myra Stevens,58,Worker
5003,Richard Brown,58,Worker
3978,Ashton Wilson,58,Worker
3974,Kristian Riley,58,Worker
6730,Annabella Phillips,58,Worker
6207,Sofia Douglas,57,Worker
1481,Darcy Ryan,57,Worker
2927,Abigail Barnes,57,Worker
988,Lydia Morgan,57,Worker
1060,Aldus Harrison,57,Worker
2088,Richard Stewart,57,Worker
5385,Miranda Allen,57,Worker
3810,Isabella Wells,57,Worker
690,Natalie Lloyd,57,Worker
1077,Derek Richards,56,Worker
861,Kate Douglas,56,Worker
3398,Charlotte Gibson,56,Worker
2864,Isabella Cameron,56,Worker
2073,Emma Bailey,56,Worker
1542,Dale Russell,56,Worker
3405,Spike Myers,56,Worker
1386,Miranda Cunningham,56,Worker
2940,Luke Rogers,56,Worker
1717,Clark Rogers,56,Worker
5447,Sienna Bailey,56,Worker
818,Miley Nelson,56,Worker
411,Sabrina Wells,55,Worker
1035,Antony Armstrong,55,Worker
1073,Tess Hall,55,Worker
5120,Annabella Mitchell,55,Worker
833,Audrey Richards,55,Worker
3567,Edward Hill,55,Worker
3189,Ted Murray,55,Worker
3709,Chloe Montgomery,55,Worker
1692,Alina Morrison,55,Worker
3342,Amber Chapman,55,Worker
1693,Carl Elliott,55,Worker
4441,Samantha Bennett,55,Worker
3285,Lucas Thompson,55,Worker
1638,Sabrina Riley,54,Worker
6518,David Russell,54,Worker
2828,Elian Henderson,54,Worker
2847,Sydney Hill,54,Worker
2901,Bruce Scott,54,Worker
3561,Hailey Sullivan,54,Worker
6481,Adison Cunningham,54,Worker
2024,Owen Warren,54,Worker
3194,Alexia Evans,54,Worker
1893,Lucy Parker,53,Worker
4341,Anna Morgan,53,Worker
3827,Luke Craig,53,Worker
472,Alexander Gray,53,Worker
4958,Marcus Parker,53,Worker
6840,Lyndon Kelly,53,Worker
1771,Mike West,53,Worker
384,David Moore,53,Worker
5213,Kirsten Richards,53,Worker
6727,Paul Hill,53,Worker
4499,Lilianna Payne,53,Worker
2557,Albert Reed,53,Worker
3683,Anna Douglas,53,Worker
4319,Blake Montgomery,53,Worker
1410,Nicole Kelly,53,Worker
6243,Rebecca Fowler,52,Worker
3435,Dale Bennett,52,Worker
1250,Tyler Payne,52,Worker
1701,Alberta Wells,52,Worker
4707,Maria Ferguson,52,Worker
1465,Alfred Thompson,52,Worker
2670,Jordan Holmes,52,Worker
2907,Adrian Kelly,52,Worker
6298,Adrianna Ross,52,Worker
1885,Chester Cameron,52,Worker
3852,Lily Adams,52,Worker
791,Amy Ross,52,Worker
6667,Miranda Stewart,52,Worker
761,Roman Brooks,52,Worker
846,Melissa Thomas,52,Worker
3009,Victoria Carter,52,Worker
6575,Emma Montgomery,52,Worker
3816,Chloe Scott,52,Worker
1955,Briony Henderson,52,Worker
2959,Arthur Phillips,52,Worker
3462,Jared Miller,52,Worker
1795,Clark Thompson,52,Worker
507,Owen Chapman,52,Worker
6947,Kellan Cunningham,52,Worker
1454,Vincent Allen,52,Worker
4627,Miley Bailey,52,Worker
1113,Audrey Rogers,52,Worker
1881,John Dixon,51,Worker
2329,Honey Sullivan,51,Worker
2532,Steven Chapman,51,Worker
6820,Miranda West,51,Worker
4279,Camila Harper,51,Worker
4351,Jordan Reed,51,Worker
6571,Miranda Gibson,51,Worker
313,Penelope Barnes,51,Worker
3919,Martin Hamilton,51,Worker
2375,Penelope Payne,51,Worker
4648,Michelle Turner,51,Worker
1949,Jared Owens,51,Worker
3051,Edith Richardson,51,Worker
1048,Elian Morrison,51,Worker
851,Aida Dixon,51,Worker
1129,Isabella Anderson,51,Worker
2695,Caroline West,51,Worker
996,Oscar Johnson,51,Worker
619,Madaline Scott,51,Worker
852,Blake Armstrong,51,Worker
6289,Eddy Cooper,51,Worker
782,Edward Brooks,51,Worker
1409,Violet Campbell,51,Worker
4361,Dominik Brown,50,Worker
5369,Annabella Craig,50,Worker
1703,Tyler Higgins,50,Worker
4262,Arnold Kelley,50,Worker
3325,Henry Harper,50,Worker
1104,Amber Morris,50,Worker
4896,Michelle Ryan,50,Worker
6495,Vanessa Morris,50,Worker
6316,Vincent Myers,50,Worker
4581,Andrew Carter,50,Worker
2252,Tess Montgomery,50,Worker
2833,Sarah Reed,50,Worker
2843,Jasmine Rogers,50,Worker
4809,Kelvin Johnston,50,Worker
836,Spike Casey,50,Worker
4858,Justin Richardson,50,Worker
3254,Fiona Baker,50,Worker
3996,Henry Sullivan,50,Worker
4278,Jasmine Roberts,50,Worker
5016,Carl Turner,50,Worker
1286,Gianna Alexander,50,Worker
360,Antony Carroll,50,Worker
3498,Charlotte Harrison,50,Worker
1576,Thomas Brooks,50,Worker
1404,George Roberts,50,Worker
2431,Jack Fowler,50,Worker
1219,Maximilian Parker,49,Worker
